Date,Close/Last,Volume,Open,High,Low
11/29/2023,3.8255,74747,3.85,3.8645,3.8135
11/28/2023,3.8395,73116,3.802,3.8555,3.786
11/27/2023,3.80,49113,3.8295,3.8415,3.7945
11/24/2023,3.8325,42522,3.8115,3.845,3.7985
11/22/2023,3.8085,47638,3.8435,3.8455,3.7825
11/21/2023,3.849,48785,3.835,3.86,3.824
11/20/2023,3.841,51361,3.768,3.8435,3.758
11/17/2023,3.77,24924,3.73,3.77,3.768
11/16/2023,3.7025,89522,3.714,3.696,3.6945
11/15/2023,3.7185,83230,3.677,3.725,3.668
11/14/2023,3.6835,99652,3.672,3.719,3.649
11/13/2023,3.666,91285,3.596,3.672,3.58
11/10/2023,3.587,89610,3.6325,3.6445,3.582
11/09/2023,3.6405,87978,3.6385,3.662,3.6135
11/08/2023,3.638,90827,3.687,3.7035,3.6325
11/07/2023,3.679,103525,3.712,3.7135,3.646
11/06/2023,3.719,82944,3.675,3.7205,3.706
11/03/2023,3.6815,78143,3.688,3.705,3.653
11/02/2023,3.6725,67595,3.6605,3.6925,3.6565
11/01/2023,3.6605,79964,3.653,3.689,3.6335
10/31/2023,3.649,69998,3.655,3.6745,3.6315
10/30/2023,3.6585,91387,3.6425,3.71,3.646
10/27/2023,3.646,89866,3.5935,3.6595,3.581
10/26/2023,3.5845,72061,3.589,3.6195,3.572
10/25/2023,3.591,68928,3.6315,3.649,3.582
10/24/2023,3.624,88421,3.5815,3.6395,3.575
10/23/2023,3.5865,82030,3.559,3.5945,3.575
10/20/2023,3.563,70684,3.585,3.59,3.5465
10/19/2023,3.601,64671,3.584,3.612,3.5665
10/18/2023,3.587,67685,3.59,3.6305,3.575
10/17/2023,3.5785,83534,3.5815,3.593,3.5315
10/16/2023,3.582,56129,3.5705,3.6055,3.5635
10/13/2023,3.571,62851,3.587,3.6165,3.557
10/12/2023,3.591,67578,3.6115,3.6485,3.5695
10/11/2023,3.612,50612,3.631,3.664,3.5985
10/10/2023,3.634,56821,3.656,3.6745,3.591
10/09/2023,3.646,61876,3.6275,3.673,3.6135
10/06/2023,3.6275,85898,3.566,3.645,3.5515
10/05/2023,3.552,57184,3.583,3.603,3.549
10/04/2023,3.589,75777,3.6185,3.622,3.549
10/03/2023,3.621,68205,3.648,3.648,3.5815
10/02/2023,3.6415,73672,3.754,3.7615,3.6275
09/29/2023,3.7375,79678,3.7125,3.786,3.7115
09/28/2023,3.708,72944,3.6465,3.715,3.6255
09/27/2023,3.6365,62153,3.6465,3.6535,3.624
09/26/2023,3.649,62917,3.673,3.6835,3.6275
